Item_Identifier,Item_Weight,Item_Fat_Content,Item_Visibility,Item_Type,Item_MRP,Outlet_Identifier,Outlet_Establishment_Year,Outlet_Size,Outlet_Location_Type,Outlet_Type,Item_Outlet_Sales
FDA15,93.0,Low Fat,16047301.0,Dairy,2498092,OUT049,1999,Medium,Tier 1,Supermarket Type1,3735138
DRC01,592.0,Regular,19278216.0,Soft Drinks,482692,OUT018,2009,Medium,Tier 3,Supermarket Type2,4434228
FDN15,175.0,Low Fat,16760075.0,Meat,141618,OUT049,1999,Medium,Tier 1,Supermarket Type1,209727
FDX07,192.0,Regular,67329353.55021834,Fruits and Vegetables,182095,OUT010,1998,Small,Tier 3,Grocery Store,73238
NCD19,893.0,Low Fat,60721772.89639115,Household,538614,OUT013,1987,High,Tier 3,Supermarket Type1,9947052
FDP36,10395.0,Regular,66836820.12106136,Baking Goods,514008,OUT018,2009,Medium,Tier 3,Supermarket Type2,5566088
FDO10,1365.0,Regular,12741089.0,Snack Foods,576588,OUT013,1987,High,Tier 3,Supermarket Type1,3435528
FDP10,742.0,Low Fat,127469857.0,Snack Foods,1077622,OUT027,1985,Medium,Tier 3,Supermarket Type3,40227636
FDH17,162.0,Regular,16687114.0,Frozen Foods,969726,OUT045,2002,Small,Tier 2,Supermarket Type1,10765986
FDU28,192.0,Regular,9444959.0,Frozen Foods,1878214,OUT017,2007,Small,Tier 2,Supermarket Type1,4710535
FDY07,118.0,Low Fat,67329353.55021834,Fruits and Vegetables,455402,OUT049,1999,Medium,Tier 1,Supermarket Type1,15160266
FDA03,185.0,Regular,45463773.0,Dairy,1441102,OUT046,1997,Small,Tier 1,Supermarket Type1,2187153
FDX32,151.0,Regular,1000135.0,Fruits and Vegetables,1454786,OUT049,1999,Medium,Tier 1,Supermarket Type1,15892646
FDS46,176.0,Regular,47257328.0,Snack Foods,1196782,OUT046,1997,Small,Tier 1,Supermarket Type1,21452076
FDF32,1635.0,Low Fat,680243.0,Fruits and Vegetables,1964426,OUT013,1987,High,Tier 3,Supermarket Type1,1977426
FDP49,9.0,Regular,69088961.0,Breakfast,563614,OUT046,1997,Small,Tier 1,Supermarket Type1,15473192
NCB42,118.0,Low Fat,8596051.0,Health and Hygiene,1153492,OUT018,2009,Medium,Tier 3,Supermarket Type2,16218888
FDP49,9.0,Regular,69196376.0,Breakfast,543614,OUT049,1999,Medium,Tier 1,Supermarket Type1,7183982
DRI11,801.0,Low Fat,34237682.0,Hard Drinks,1132834,OUT027,1985,Medium,Tier 3,Supermarket Type3,2303668
FDU02,1335.0,Low Fat,10249212.0,Dairy,2305352,OUT035,2004,Small,Tier 2,Supermarket Type1,27484224
FDN22,1885.0,Regular,138190277.0,Snack Foods,2508724,OUT013,1987,High,Tier 3,Supermarket Type1,3775086
FDW12,678.0,Regular,35399923.0,Baking Goods,1445444,OUT027,1985,Medium,Tier 3,Supermarket Type3,40640432
NCB30,146.0,Low Fat,25698134.0,Household,1965084,OUT035,2004,Small,Tier 2,Supermarket Type1,15872672
FDC37,678.0,Low Fat,57556998.0,Baking Goods,1076938,OUT019,1985,Small,Tier 1,Grocery Store,2143876
FDR28,1385.0,Regular,25896485.0,Frozen Foods,165021,OUT046,1997,Small,Tier 1,Supermarket Type1,4078025
NCD06,13.0,Low Fat,99887103.0,Household,45906,OUT017,2007,Small,Tier 2,Supermarket Type1,838908
FDV10,7645.0,Regular,66693437.0,Snack Foods,423112,OUT035,2004,Small,Tier 2,Supermarket Type1,106528
DRJ59,1165.0,Low Fat,19356132.0,Hard Drinks,391164,OUT013,1987,High,Tier 3,Supermarket Type1,3089312
FDE51,5925.0,Regular,161466534.0,Dairy,455086,OUT010,1998,Small,Tier 3,Grocery Store,1784344
FDC14,197.0,Regular,72221801.0,Canned,436454,OUT019,1985,Small,Tier 1,Grocery Store,1258362
FDV38,1925.0,Low Fat,170348551.0,Dairy,557956,OUT010,1998,Small,Tier 3,Grocery Store,1637868
NCS17,186.0,Low Fat,80829372.0,Health and Hygiene,964436,OUT018,2009,Medium,Tier 3,Supermarket Type2,27417644
FDP33,187.0,Low Fat,65093851.71466431,Snack Foods,2566672,OUT018,2009,Medium,Tier 3,Supermarket Type2,30680064
FDO23,1785.0,Low Fat,61247609.04273504,Breads,931436,OUT045,2002,Small,Tier 2,Supermarket Type1,21745028
DRH01,175.0,Low Fat,97904029.0,Soft Drinks,1748738,OUT046,1997,Small,Tier 1,Supermarket Type1,20852856
NCX29,10.0,Low Fat,89291137.0,Health and Hygiene,1467102,OUT049,1999,Medium,Tier 1,Supermarket Type1,37910652
FDV20,206.0,Regular,59511812.0,Fruits and Vegetables,1280678,OUT027,1985,Medium,Tier 3,Supermarket Type3,27976916
DRZ11,885.0,Regular,113123893.0,Soft Drinks,1225388,OUT018,2009,Medium,Tier 3,Supermarket Type2,16099044
FDX10,742.0,Regular,123111453.0,Snack Foods,369874,OUT027,1985,Medium,Tier 3,Supermarket Type3,3881614
FDB34,742.0,Low Fat,26480954.0,Snack Foods,876198,OUT027,1985,Medium,Tier 3,Supermarket Type3,2180495
FDU02,1335.0,Low Fat,102511504.0,Dairy,2306352,OUT046,1997,Small,Tier 1,Supermarket Type1,3435528
FDK43,98.0,Low Fat,2681843.0,Meat,126002,OUT013,1987,High,Tier 3,Supermarket Type1,2150534
FDA46,136.0,Low Fat,117818348.0,Snack Foods,1929136,OUT049,1999,Medium,Tier 1,Supermarket Type1,25273768
FDC02,2135.0,Low Fat,69102831.0,Canned,2599278,OUT018,2009,Medium,Tier 3,Supermarket Type2,67685228
